"time","speed","speed2","gyro.x","gyro.y","gyro.z","accel.x","accel.y","accel.z","rotation.x","rotation.y","vibration","mAvg.speed","mAvg.speed2","mAvg.vibration","mAvg.gyro.x","mAvg.gyro.y","mAvg.gyro.z","mAvg.accel.x","mAvg.accel.y","mAvg.accel.z","mAvg.rotation.x","mAvg.rotation.y"
1528558008208,11.260875503974628,16.086965005678042,-6.770992366412214,1.2900763358778626,2.4427480916030535,-0.73583984375,0.587646484375,-0.160888671875,-37.96048534468556,50.37535508265064,0,2.4,12.4,0,-2.6,0,-1,0,0,0,-38.4,49
1528558008308,11.260875503974628,16.086965005678042,-5.694656488549619,2.122137404580153,-1.0076335877862594,-0.6904296875,0.70556640625,-0.08544921875,-45.40352806839291,44.17027319989842,0,2.4,12.4,0,-2.6,0,-1,0,0,0,-38.4,49
1528558008409,11.260875503974628,16.086965005678042,2.954198473282443,-2.854961832061069,-4.374045801526718,-0.733154296875,0.634521484375,-0.202880859375,-39.83216832860839,47.74073989140412,0,2.4,12.4,0,-2.6,0,-1,0,0,0,-38.4,49
1528558008509,11.260875503974628,16.086965005678042,-2.572519083969466,0.3435114503816794,-1.2290076335877862,-0.80615234375,0.5048828125,-0.17236328125,-31.48516474338141,56.50428427144018,0,2.4,12.4,0,-2.6,0,-1,0,0,0,-38.4,49
1528558008609,11.260875503974628,16.086965005678042,-10.038167938931299,5.534351145038168,-1.549618320610687,-0.6552734375,0.718994140625,-0.101806640625,-47.31437074999597,42.06227542735413,0,2.4,12.4,0,-2.6,0,-1,0,0,0,-38.4,49
1528558008709,11.260875503974628,16.086965005678042,2.83206106870229,-3.7251908396946565,-5.648854961832061,-0.759033203125,0.59765625,-0.185791015625,-37.409237325479495,50.492371778510424,0,2.4,12.4,0,-2.6,0,-1,0,0,0,-38.4,49
1528558008809,11.260875503974628,16.086965005678042,-1.7938931297709924,-0.33587786259541985,-2.0610687022900764,-0.81005859375,0.498779296875,-0.108642578125,-31.394392278192147,57.782117134099266,0,4.6,11,0,-2.4,0,-1,0,0,0,-38.2,49.4
1528558008909,11.260875503974628,16.086965005678042,-6.916030534351145,4.076335877862595,2.1068702290076335,-0.757080078125,0.613037109375,-0.160888671875,-38.38102734929097,50.06524871048037,0,4.6,11,0,-2.4,0,-1,0,0,0,-38.2,49.4
1528558009009,11.260875503974628,16.086965005678042,0.6106870229007634,-1.9770992366412214,-1.381679389312977,-0.72998046875,0.606689453125,-0.143310546875,-39.198485409601034,49.50346293092638,0,4.6,11,0,-2.4,0,-1,0,0,0,-38.2,49.4
1528558009109,11.260875503974628,16.086965005678042,-2.4427480916030535,-0.816793893129771,1.618320610687023,-0.78955078125,0.529052734375,-0.161376953125,-33.28472164185633,54.98693245612117,0,4.6,11,0,-2.4,0,-1,0,0,0,-38.2,49.4
1528558009209,12.869572004542432,16.086965005678042,-9.366412213740459,4.129770992366412,0.5419847328244275,-0.67822265625,0.7099609375,-0.119140625,-45.87472271008352,43.29301554919171,0,4.6,11,0,-2.4,0,-1,0,0,0,-38.2,49.4
1528558009310,12.869572004542432,16.086965005678042,1.7786259541984732,-2.122137404580153,-3.435114503816794,-0.735595703125,0.655029296875,-0.15869140625,-41.03792470752476,47.50301793039472,0,4.6,11,0,-2.4,0,-1,0,0,0,-38.2,49.4
1528558009411,12.869572004542432,16.086965005678042,-0.2900763358778626,1.786259541984733,-1.9236641221374047,-0.79541015625,0.56884765625,-0.1767578125,-34.92014713823355,53.170725556267925,0,4.6,11,0,-2.4,0,-1,0,0,0,-38.2,49.4
1528558009511,12.869572004542432,16.086965005678042,-8.282442748091603,2.3740458015267176,-1.0458015267175573,-0.720458984375,0.662353515625,-0.164794921875,-41.86680680153523,46.54789455594026,0,4.6,11,0,-2.4,0,-1,0,0,0,-38.2,49.4
1528558009611,12.869572004542432,16.086965005678042,-0.7709923664122137,-1.3587786259541985,-4.885496183206107,-0.71142578125,0.611572265625,-0.11572265625,-40.31431065300073,48.81740340147081,0,4.6,11,0,-2.4,0,-1,0,0,0,-38.2,49.4
1528558009711,11.260875503974628,0,-0.44274809160305345,-1.465648854961832,-3,-0.81982421875,0.524658203125,-0.119873046875,-32.343255301873,56.71687870166131,0,4.6,11,0,-2.4,0,-1,0,0,0,-38.2,49.4
1528558009811,11.260875503974628,0,-8.549618320610687,4.305343511450381,1.8854961832061068,-0.7646484375,0.61474609375,-0.068603515625,-38.68574964017572,51.02887946198863,0,7,12.2,0,-2.4,0,-1,0,0,0,-37.8,49.8
1528558009911,11.260875503974628,0,0.4580152671755725,-0.6259541984732825,-0.7786259541984732,-0.732666015625,0.638427734375,-0.2158203125,-39.89111030217394,47.391559631055266,0,7,12.2,0,-2.4,0,-1,0,0,0,-37.8,49.8
1528558010011,11.260875503974628,0,-1.4961832061068703,-2.0839694656488548,1.5114503816793894,-0.8017578125,0.570068359375,-0.16796875,-34.834639861902374,53.452486900911595,0,7,12.2,0,-2.4,0,-1,0,0,0,-37.8,49.8
1528558010111,11.260875503974628,0,-9.534351145038167,3.5877862595419847,2.854961832061069,-0.74267578125,0.650390625,-0.1943359375,-40.27176941935366,47.57277195929824,0,7,12.2,0,-2.4,0,-1,0,0,0,-37.8,49.8
1528558010212,11.260875503974628,16.086965005678042,-1.9083969465648856,-1.3053435114503817,-2.1526717557251906,-0.716796875,0.63720703125,-0.068603515625,-41.50628477441875,48.20004254473542,0,7,12.2,0,-2.4,0,-1,0,0,0,-37.8,49.8
