"time","speed","speed2","gyro.x","gyro.y","gyro.z","accel.x","accel.y","accel.z","rotation.x","rotation.y","vibration","mAvg.speed","mAvg.speed2","mAvg.vibration","mAvg.gyro.x","mAvg.gyro.y","mAvg.gyro.z","mAvg.accel.x","mAvg.accel.y","mAvg.accel.z","mAvg.rotation.x","mAvg.rotation.y"
1528558113889,0,0,-3.0610687022900764,0.48854961832061067,-1.282442748091603,-0.739990234375,0.6005859375,-0.150390625,-38.49712419072643,50.08172244636053,0,0,0,0,-2,0,-1,0,0,0,-38,49
1528558113989,0,0,-2.931297709923664,0.48091603053435117,-1.3053435114503817,-0.734619140625,0.603271484375,-0.148193359375,-38.83362034236229,49.781559727245444,0,0,0,0,-2,0,-1,0,0,0,-38,49
1528558114089,0,0,-2.900763358778626,0.648854961832061,-1.16793893129771,-0.741455078125,0.6083984375,-0.14599609375,-38.837116293954864,49.84094309723432,0,0,0,0,-2,0,-1,0,0,0,-38,49
1528558114190,0,0,-2.9083969465648853,0.6106870229007634,-1.083969465648855,-0.748291015625,0.6005859375,-0.153076171875,-38.17887924945703,50.36607206675812,0,0,0,0,-2,0,-1,0,0,0,-38,49
1528558114290,0,0,-2.931297709923664,0.5267175572519084,-1.16793893129771,-0.73486328125,0.608642578125,-0.14404296875,-39.10326268348252,49.59830478306149,0,0,0,0,-2,0,-1,0,0,0,-38,49
1528558114390,0,0,-3.0076335877862594,0.48854961832061067,-1.16793893129771,-0.75,0.6220703125,-0.15283203125,-39.10161111749999,49.49960930802523,0,0,0,0,-2,0,-1,0,0,0,-38,49
1528558114490,0,0,-3.0229007633587788,0.6335877862595419,-1.3511450381679388,-0.74072265625,0.609130859375,-0.1455078125,-38.900926167669844,49.78601952874923,0,0,0,0,-2,0,-1,0,0,0,-38,49
1528558114590,0,0,-2.877862595419847,0.5419847328244275,-1.3129770992366412,-0.744384765625,0.603515625,-0.155517578125,-38.43631035626648,50.062480698643135,0,0,0,0,-2,0,-1,0,0,0,-38,49
1528558114690,0,0,-3.053435114503817,0.7709923664122137,-1.366412213740458,-0.74951171875,0.62158203125,-0.152587890625,-39.09891220469551,49.50470960283343,0,0,0,0,-2,0,-1,0,0,0,-38,49
1528558114791,0,0,-2.931297709923664,0.6335877862595419,-1.2595419847328244,-0.739990234375,0.60400390625,-0.14892578125,-38.66637857372897,49.9469990129703,0,0,0,0,-2,0,-1,0,0,0,-38,49
